goos: darwin
goarch: arm64
pkg: github.com/sted/heligo
cpu: Apple M1 Pro
BenchmarkStaticRoot-10            	94339622	        12.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoot-10            	95671212	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoot-10            	96266017	        12.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoot-10            	95183008	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoot-10            	93934074	        12.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoot-10            	95534114	        12.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	73621324	        16.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	72703588	        16.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	71947656	        16.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	73754810	        16.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	73419753	        16.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticShort-10           	68799780	        16.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	23989884	        49.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	24340605	        49.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	24287072	        49.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	24210672	        50.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	24167886	        49.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDeep-10            	24117492	        50.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	26207596	        45.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	25852108	        45.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	26510988	        46.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	26367734	        47.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	26159772	        46.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1-10                	25824685	        46.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	21784728	        54.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	21891601	        54.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	22052438	        56.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	21507832	        55.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	21971130	        54.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1Long-10            	22111120	        55.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	18837355	        65.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	18683282	        64.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	17884864	        64.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	18935968	        63.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	18810325	        65.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2-10                	18871570	        63.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15964867	        75.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15950985	        75.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15948786	        75.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15953786	        75.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15957685	        78.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3-10                	15939474	        75.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	30087472	        40.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	29544582	        40.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	29627496	        40.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	29954194	        39.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	30096213	        40.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcard-10              	30058707	        40.03 ns/op	       0 B/op	       0 allocs/op
